,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first
1444,ohtansh01,2021,0,NLS202107130,LAA,AL,1,1,ohtani,shohei
1445,perezsa02,2021,0,NLS202107130,KCA,AL,1,2,perez,salvador
1446,guerrvl02,2021,0,NLS202107130,TOR,AL,1,3,guerrero,vladimir
1447,semiema01,2021,0,NLS202107130,TOR,AL,1,4,semien,marcus
1448,deverra01,2021,0,NLS202107130,BOS,AL,1,5,devers,rafael
1449,bogaexa01,2021,0,NLS202107130,BOS,AL,1,6,bogaerts,xander
1450,hernate01,2021,0,NLS202107130,TOR,AL,1,7,hernÃ¡ndez,teoscar
1451,mullice01,2021,0,NLS202107130,BAL,AL,1,8,mullins,cedric
1452,judgeaa01,2021,0,NLS202107130,NYA,AL,1,9,judge,aaron
1453,ohtansh01,2021,0,NLS202107130,LAA,AL,1,10,ohtani,shohei
1454,altuvjo01,2021,0,NLS202107130,HOU,AL,0,,altuve,jose
1455,anderti01,2021,0,NLS202107130,CHA,AL,0,,anderson,tim
1456,barnema01,2021,0,NLS202107130,BOS,AL,1,,barnes,matt
1457,bassich01,2021,0,NLS202107130,OAK,AL,1,,bassitt,chris
1458,bichebo01,2021,0,NLS202107130,TOR,AL,1,,bichette,bo
1459,biebesh01,2021,0,NLS202107130,CLE,AL,0,,bieber,shane
1460,brantmi02,2021,0,NLS202107130,HOU,AL,0,,brantley,michael
1461,chapmar01,2021,0,NLS202107130,NYA,AL,0,,chapman,aroldis
1462,colege01,2021,0,NLS202107130,NYA,AL,0,,cole,gerrit
1463,correca01,2021,0,NLS202107130,HOU,AL,0,,correa,carlos
1464,cruzne02,2021,0,NLS202107130,MIN,AL,1,,cruz,nelson
1465,eovalna01,2021,0,NLS202107130,BOS,AL,1,,eovaldi,nathan
1466,gallojo01,2021,0,NLS202107130,TEX,AL,1,,gallo,joey
1467,garciad02,2021,0,NLS202107130,TEX,AL,1,,garcÃ­a,adolis
1468,gibsoky01,2021,0,NLS202107130,TEX,AL,1,,gibson,kyle
1469,hendrli01,2021,0,NLS202107130,CHA,AL,1,,hendriks,liam
1470,kikucyu01,2021,0,NLS202107130,SEA,AL,0,,kikuchi,yusei
1471,kittran01,2021,0,NLS202107130,TBA,AL,1,,kittredge,andrew
1472,lynnla01,2021,0,NLS202107130,CHA,AL,1,,lynn,lance
1473,martijd02,2021,0,NLS202107130,BOS,AL,1,,martinez,j. d.
1474,merriwh01,2021,0,NLS202107130,KCA,AL,1,,merrifield,whit
1475,olsonma02,2021,0,NLS202107130,OAK,AL,1,,olson,matt
1476,pressry01,2021,0,NLS202107130,HOU,AL,0,,pressly,ryan
1477,ramirjo01,2021,0,NLS202107130,CLE,AL,1,,ramÃ­rez,josÃ©
1478,rodonca01,2021,0,NLS202107130,CHA,AL,0,,rodÃ³n,carlos
1479,rogerta01,2021,0,NLS202107130,MIN,AL,0,,rogers,taylor
1480,sotogr01,2021,0,NLS202107130,DET,AL,1,,soto,gregory
1481,troutmi01,2021,0,NLS202107130,LAA,AL,0,,trout,mike
1482,walshja01,2021,0,NLS202107130,LAA,AL,1,,walsh,jared
1483,wendljo01,2021,0,NLS202107130,TBA,AL,1,,wendle,joey
1484,zuninmi01,2021,0,NLS202107130,TBA,AL,1,,zunino,mike
1485,scherma01,2021,0,NLS202107130,WAS,NL,1,1,scherzer,max
1486,realmjt01,2021,0,NLS202107130,PHI,NL,1,2,realmuto,j. t.
