,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first
0,wellsda01,2000,0,NLS200007110,TOR,AL,1,1,wells,david
1,rodriiv01,2000,0,NLS200007110,TEX,AL,1,2,rodriguez,ivan
2,giambja01,2000,0,NLS200007110,OAK,AL,1,3,giambi,jason
3,alomaro01,2000,0,NLS200007110,CLE,AL,1,4,alomar,roberto
4,frymatr01,2000,0,NLS200007110,CLE,AL,1,5,fryman,travis
5,jeterde01,2000,0,NLS200007110,NYA,AL,1,6,jeter,derek
6,evereca01,2000,0,NLS200007110,BOS,AL,1,7,everett,carl
7,willibe02,2000,0,NLS200007110,NYA,AL,1,8,williams,bernie
8,dyeje01,2000,0,NLS200007110,KCA,AL,1,9,dye,jermaine
9,baldwja01,2000,0,NLS200007110,CHA,AL,1,,baldwin,james
10,batisto01,2000,0,NLS200007110,TOR,AL,1,,batista,tony
11,bordimi01,2000,0,NLS200007110,BAL,AL,1,,bordick,mike
12,delgaca01,2000,0,NLS200007110,TOR,AL,1,,delgado,carlos
13,durhara01,2000,0,NLS200007110,CHA,AL,1,,durham,ray
14,erstada01,2000,0,NLS200007110,LAA,AL,1,,erstad,darin
15,finlech01,2000,0,NLS200007110,CLE,AL,0,,finley,chuck
16,garcino01,2000,0,NLS200007110,BOS,AL,1,,garciaparra,nomar
17,glaustr01,2000,0,NLS200007110,LAA,AL,1,,glaus,troy
18,hudsoti01,2000,0,NLS200007110,OAK,AL,1,,hudson,tim
19,isrinja01,2000,0,NLS200007110,OAK,AL,1,,isringhausen,jason
20,jonesto02,2000,0,NLS200007110,DET,AL,1,,jones,todd
21,lawtoma02,2000,0,NLS200007110,MIN,AL,1,,lawton,matt
22,lowede01,2000,0,NLS200007110,BOS,AL,1,,lowe,derek
23,martied01,2000,0,NLS200007110,SEA,AL,1,,martinez,edgar
24,martipe02,2000,0,NLS200007110,BOS,AL,0,,martinez,pedro
25,mcgrifr01,2000,0,NLS200007110,TBA,AL,1,,mcgriff,fred
26,ordonma01,2000,0,NLS200007110,CHA,AL,1,,ordonez,magglio
27,posadjo01,2000,0,NLS200007110,NYA,AL,1,,posada,jorge
28,ramirma02,2000,0,NLS200007110,CLE,AL,0,,ramirez,manny
29,ripkeca01,2000,0,NLS200007110,BAL,AL,0,,ripken,cal
30,riverma01,2000,0,NLS200007110,NYA,AL,1,,rivera,mariano
31,rodrial01,2000,0,NLS200007110,SEA,AL,0,,rodriguez,alex
32,seleaa01,2000,0,NLS200007110,SEA,AL,1,,sele,aaron
33,sweenmi01,2000,0,NLS200007110,KCA,AL,1,,sweeney,mike
34,johnsra05,2000,0,NLS200007110,ARI,NL,1,1,johnson,randy
35,kendaja01,2000,0,NLS200007110,PIT,NL,1,2,kendall,jason
36,galaran01,2000,0,NLS200007110,ATL,NL,1,3,galarraga,andres
37,kentje01,2000,0,NLS200007110,SFN,NL,1,4,kent,jeff
38,jonesch06,2000,0,NLS200007110,ATL,NL,1,5,jones,chipper
39,larkiba01,2000,0,NLS200007110,CIN,NL,1,6,larkin,barry
40,guerrvl01,2000,0,NLS200007110,MON,NL,1,7,guerrero,vladimir
41,edmonji01,2000,0,NLS200007110,SLN,NL,1,8,edmonds,jim
42,sosasa01,2000,0,NLS200007110,CHN,NL,1,9,sosa,sammy
43,alfoned01,2000,0,NLS200007110,NYN,NL,1,,alfonzo,edgardo
44,bondsba01,2000,0,NLS200007110,SFN,NL,0,,bonds,barry
45,brownke01,2000,0,NLS200007110,LAN,NL,1,,brown,kevin
46,cirilje01,2000,0,NLS200007110,COL,NL,1,,cirillo,jeff
47,dempsry01,2000,0,NLS200007110,FLO,NL,0,,dempster,ryan
48,finlest01,2000,0,NLS200007110,ARI,NL,1,,finley,steve
49,gilesbr02,2000,0,NLS200007110,PIT,NL,1,,giles,brian
50,girarjo01,2000,0,NLS200007110,CHN,NL,0,,girardi,joe
51,glavito02,2000,0,NLS200007110,ATL,NL,1,,glavine,tom
52,graveda01,2000,0,NLS200007110,CIN,NL,1,,graves,danny
53,griffke02,2000,0,NLS200007110,CIN,NL,0,,griffey,ken
54,hammoje01,2000,0,NLS200007110,COL,NL,1,,hammonds,jeffrey
55,heltoto01,2000,0,NLS200007110,COL,NL,1,,helton,todd
56,hoffmtr01,2000,0,NLS200007110,SDN,NL,1,,hoffman,trevor
57,jonesan01,2000,0,NLS200007110,ATL,NL,1,,jones,andruw
58,kileda01,2000,0,NLS200007110,SLN,NL,1,,kile,darryl
59,leiteal01,2000,0,NLS200007110,NYN,NL,1,,leiter,al
60,liebemi01,2000,0,NLS200007110,PHI,NL,1,,lieberthal,mike
61,maddugr01,2000,0,NLS200007110,ATL,NL,0,,maddux,greg
62,mcgwima01,2000,0,NLS200007110,SLN,NL,0,,mcgwire,mark
63,piazzmi01,2000,0,NLS200007110,NYN,NL,0,,piazza,mike
64,renteed01,2000,0,NLS200007110,SLN,NL,1,,renteria,edgar
65,reynosh01,2000,0,NLS200007110,HOU,NL,0,,reynolds,shane
66,sheffga01,2000,0,NLS200007110,LAN,NL,1,,sheffield,gary
67,vidrojo01,2000,0,NLS200007110,MON,NL,1,,vidro,jose
68,wickmbo01,2000,0,NLS200007110,MIL,NL,1,,wickman,bob
69,clemero02,2001,0,ALS200107100,NYA,AL,1,1,clemens,roger
70,rodriiv01,2001,0,ALS200107100,TEX,AL,1,2,rodriguez,ivan
71,olerujo01,2001,0,ALS200107100,SEA,AL,1,3,olerud,john
72,boonebr01,2001,0,ALS200107100,SEA,AL,1,4,boone,bret
73,rodrial01,2001,0,ALS200107100,TEX,AL,1,5,rodriguez,alex
74,ripkeca01,2001,0,ALS200107100,BAL,AL,1,6,ripken,cal
75,ramirma02,2001,0,ALS200107100,BOS,AL,1,7,ramirez,manny
76,suzukic01,2001,0,ALS200107100,SEA,AL,1,8,suzuki,ichiro
77,gonzaju03,2001,0,ALS200107100,CLE,AL,1,9,gonzalez,juan
78,martied01,2001,0,ALS200107100,SEA,AL,1,10,martinez,edgar
79,alomaro01,2001,0,ALS200107100,CLE,AL,1,,alomar,roberto
80,camermi01,2001,0,ALS200107100,SEA,AL,1,,cameron,mike
81,clarkto02,2001,0,ALS200107100,DET,AL,1,,clark,tony
82,garcifr02,2001,0,ALS200107100,SEA,AL,1,,,
83,giambja01,2001,0,ALS200107100,OAK,AL,1,,giambi,jason
84,glaustr01,2001,0,ALS200107100,LAA,AL,1,,glaus,troy
85,guzmacr01,2001,0,ALS200107100,MIN,AL,1,,guzman,cristian
86,jeterde01,2001,0,ALS200107100,NYA,AL,1,,jeter,derek
87,maysjo01,2001,0,ALS200107100,MIN,AL,1,,mays,joe
88,miltoer01,2001,0,ALS200107100,MIN,AL,0,,milton,eric
89,nelsoje01,2001,0,ALS200107100,SEA,AL,1,,nelson,jeff
90,ordonma01,2001,0,ALS200107100,CHA,AL,1,,ordonez,magglio
91,percitr01,2001,0,ALS200107100,LAA,AL,1,,percival,troy
92,pettian01,2001,0,ALS200107100,NYA,AL,1,,pettitte,andy
93,posadjo01,2001,0,ALS200107100,NYA,AL,1,,posada,jorge
94,quantpa01,2001,0,ALS200107100,TOR,AL,1,,quantrill,paul
95,riverma01,2001,0,ALS200107100,NYA,AL,0,,rivera,mariano
96,sasakka01,2001,0,ALS200107100,SEA,AL,1,,sasaki,kazuhiro
97,stantmi02,2001,0,ALS200107100,NYA,AL,1,,stanton,mike
98,sweenmi01,2001,0,ALS200107100,KCA,AL,1,,sweeney,mike
99,vaughgr01,2001,0,ALS200107100,TBA,AL,0,,vaughn,greg
100,willibe02,2001,0,ALS200107100,NYA,AL,1,,williams,bernie
101,johnsra05,2001,0,ALS200107100,ARI,NL,1,1,johnson,randy
102,piazzmi01,2001,0,ALS200107100,NYN,NL,1,2,piazza,mike
103,heltoto01,2001,0,ALS200107100,COL,NL,1,3,helton,todd
104,kentje01,2001,0,ALS200107100,SFN,NL,1,4,kent,jeff
105,jonesch06,2001,0,ALS200107100,ATL,NL,1,5,jones,chipper
106,aurilri01,2001,0,ALS200107100,SFN,NL,1,6,aurilia,rich
107,bondsba01,2001,0,ALS200107100,SFN,NL,1,7,bonds,barry
108,gonzalu01,2001,0,ALS200107100,ARI,NL,1,8,gonzalez,luis
109,sosasa01,2001,0,ALS200107100,CHN,NL,1,9,sosa,sammy
110,walkela01,2001,0,ALS200107100,COL,NL,1,10,walker,larry
111,aloumo01,2001,0,ALS200107100,HOU,NL,1,,alou,moises
112,berkmla01,2001,0,ALS200107100,HOU,NL,1,,berkman,lance
113,burkejo03,2001,0,ALS200107100,ATL,NL,1,,burkett,john
114,caseyse01,2001,0,ALS200107100,CIN,NL,1,,casey,sean
115,floydcl01,2001,0,ALS200107100,FLO,NL,1,,floyd,cliff
116,gilesbr02,2001,0,ALS200107100,PIT,NL,1,,giles,brian
117,guerrvl01,2001,0,ALS200107100,MON,NL,1,,guerrero,vladimir
118,hamptmi01,2001,0,ALS200107100,COL,NL,1,,hampton,mike
119,johnsch04,2001,0,ALS200107100,FLO,NL,1,,johnson,charles
120,kleskry01,2001,0,ALS200107100,SDN,NL,1,,klesko,ryan
121,liebejo01,2001,0,ALS200107100,CHN,NL,1,,lieber,jon
122,morrima01,2001,0,ALS200107100,SLN,NL,1,,morris,matt
123,nevinph01,2001,0,ALS200107100,SDN,NL,1,,nevin,phil
124,parkch01,2001,0,ALS200107100,LAN,NL,1,,park,chan ho
125,pujolal01,2001,0,ALS200107100,SLN,NL,1,,pujols,albert
126,reedri01,2001,0,ALS200107100,NYN,NL,0,,reed,rick
127,rolliji01,2001,0,ALS200107100,PHI,NL,1,,rollins,jimmy
128,schilcu01,2001,0,ALS200107100,ARI,NL,0,,schilling,curt
129,shawje01,2001,0,ALS200107100,LAN,NL,1,,shaw,jeff
130,sheetbe01,2001,0,ALS200107100,MIL,NL,1,,sheets,ben
131,wagnebi02,2001,0,ALS200107100,HOU,NL,1,,wagner,billy
132,lowede01,2002,0,NLS200207090,BOS,AL,1,1,lowe,derek
133,posadjo01,2002,0,NLS200207090,NYA,AL,1,2,posada,jorge
134,giambja01,2002,0,NLS200207090,NYA,AL,1,3,giambi,jason
135,soriaal01,2002,0,NLS200207090,NYA,AL,1,4,soriano,alfonso
136,hillesh02,2002,0,NLS200207090,BOS,AL,1,5,hillenbrand,shea
137,rodrial01,2002,0,NLS200207090,TEX,AL,1,6,rodriguez,alex
138,ramirma02,2002,0,NLS200207090,BOS,AL,1,7,ramirez,manny
139,hunteto01,2002,0,NLS200207090,MIN,AL,1,8,hunter,torii
140,suzukic01,2002,0,NLS200207090,SEA,AL,1,9,suzuki,ichiro
141,anderga01,2002,0,NLS200207090,LAA,AL,1,,anderson,garret
142,batisto01,2002,0,NLS200207090,BAL,AL,1,,batista,tony
143,buehrma01,2002,0,NLS200207090,CHA,AL,1,,buehrle,mark
144,damonjo01,2002,0,NLS200207090,BOS,AL,1,,damon,johnny
145,fickro01,2002,0,NLS200207090,DET,AL,1,,fick,robert
146,garcifr02,2002,0,NLS200207090,SEA,AL,1,,,
147,garcino01,2002,0,NLS200207090,BOS,AL,1,,garciaparra,nomar
148,guarded01,2002,0,NLS200207090,MIN,AL,1,,guardado,eddie
149,hallaro01,2002,0,NLS200207090,TOR,AL,1,,halladay,roy
150,jeterde01,2002,0,NLS200207090,NYA,AL,1,,jeter,derek
151,konerpa01,2002,0,NLS200207090,CHA,AL,1,,konerko,paul
152,martipe02,2002,0,NLS200207090,BOS,AL,0,,martinez,pedro
153,pierzaj01,2002,0,NLS200207090,MIN,AL,1,,,
154,riverma01,2002,0,NLS200207090,NYA,AL,1,,rivera,mariano
155,sasakka01,2002,0,NLS200207090,SEA,AL,1,,sasaki,kazuhiro
156,sweenmi01,2002,0,NLS200207090,KCA,AL,1,,sweeney,mike
157,tejadmi01,2002,0,NLS200207090,OAK,AL,1,,tejada,miguel
158,urbinug01,2002,0,NLS200207090,BOS,AL,1,,urbina,ugueth
159,venturo01,2002,0,NLS200207090,NYA,AL,1,,ventura,robin
160,vizquom01,2002,0,NLS200207090,CLE,AL,1,,vizquel,omar
161,winnra01,2002,0,NLS200207090,TBA,AL,1,,winn,randy
162,zitoba01,2002,0,NLS200207090,OAK,AL,1,,zito,barry
163,schilcu01,2002,0,NLS200207090,ARI,NL,1,1,schilling,curt
164,piazzmi01,2002,0,NLS200207090,NYN,NL,1,2,piazza,mike
165,heltoto01,2002,0,NLS200207090,COL,NL,1,3,helton,todd
166,vidrojo01,2002,0,NLS200207090,MON,NL,1,4,vidro,jose
167,rolensc01,2002,0,NLS200207090,PHI,NL,1,5,rolen,scott
168,rolliji01,2002,0,NLS200207090,PHI,NL,1,6,rollins,jimmy
169,bondsba01,2002,0,NLS200207090,SFN,NL,1,7,bonds,barry
170,guerrvl01,2002,0,NLS200207090,MON,NL,1,8,guerrero,vladimir
171,sosasa01,2002,0,NLS200207090,CHN,NL,1,9,sosa,sammy
172,berkmla01,2002,0,NLS200207090,HOU,NL,1,,berkman,lance
173,castilu01,2002,0,NLS200207090,FLO,NL,1,,castillo,luis
174,dunnad01,2002,0,NLS200207090,CIN,NL,1,,dunn,adam
175,gagneer01,2002,0,NLS200207090,LAN,NL,1,,gagne,eric
176,glavito02,2002,0,NLS200207090,ATL,NL,0,,glavine,tom
177,gonzalu01,2002,0,NLS200207090,ARI,NL,1,,gonzalez,luis
178,greensh01,2002,0,NLS200207090,LAN,NL,1,,green,shawn
179,hernajo01,2002,0,NLS200207090,MIL,NL,1,,hernández,josé
180,hoffmtr01,2002,0,NLS200207090,SDN,NL,1,,hoffman,trevor
181,johnsra05,2002,0,NLS200207090,ARI,NL,0,,johnson,randy
182,jonesan01,2002,0,NLS200207090,ATL,NL,1,,jones,andruw
183,kimby01,2002,0,NLS200207090,ARI,NL,1,,kim,byung-hyun
184,lowelmi01,2002,0,NLS200207090,FLO,NL,1,,lowell,mike
185,milleda02,2002,0,NLS200207090,ARI,NL,1,,miller,damian
186,morrima01,2002,0,NLS200207090,SLN,NL,0,,morris,matt
187,nenro01,2002,0,NLS200207090,SFN,NL,1,,nen,robb
188,padilvi01,2002,0,NLS200207090,PHI,NL,1,,padilla,vicente
189,perezod01,2002,0,NLS200207090,LAN,NL,1,,perez,odalis
190,remlimi01,2002,0,NLS200207090,ATL,NL,1,,remlinger,mike
191,santibe01,2002,0,NLS200207090,SFN,NL,1,,santiago,benito
192,sexsori01,2002,0,NLS200207090,MIL,NL,1,,sexson,richie
193,smoltjo01,2002,0,NLS200207090,ATL,NL,1,,smoltz,john
194,spiveju01,2002,0,NLS200207090,ARI,NL,1,,spivey,junior
195,willimi03,2002,0,NLS200207090,PIT,NL,1,,williams,mike
196,loaizes01,2003,0,ALS200307150,CHA,AL,1,1,loaiza,esteban
197,posadjo01,2003,0,ALS200307150,NYA,AL,1,2,posada,jorge
198,delgaca01,2003,0,ALS200307150,TOR,AL,1,3,delgado,carlos
199,soriaal01,2003,0,ALS200307150,NYA,AL,1,4,soriano,alfonso
200,glaustr01,2003,0,ALS200307150,LAA,AL,1,5,glaus,troy
201,rodrial01,2003,0,ALS200307150,TEX,AL,1,6,rodriguez,alex
202,anderga01,2003,0,ALS200307150,LAA,AL,1,7,anderson,garret
203,matsuhi01,2003,0,ALS200307150,NYA,AL,1,8,matsui,hideki
204,suzukic01,2003,0,ALS200307150,SEA,AL,1,9,suzuki,ichiro
205,martied01,2003,0,ALS200307150,SEA,AL,1,10,martinez,edgar
206,blaloha01,2003,0,ALS200307150,TEX,AL,1,,blalock,hank
207,boonebr01,2003,0,ALS200307150,SEA,AL,1,,boone,bret
208,cartela02,2003,0,ALS200307150,TBA,AL,0,,carter,lance
209,clemero02,2003,0,ALS200307150,NYA,AL,1,,clemens,roger
210,donnebr01,2003,0,ALS200307150,LAA,AL,1,,donnelly,brendan
211,evereca01,2003,0,ALS200307150,CHA,AL,1,,everett,carl
212,foulkke01,2003,0,ALS200307150,OAK,AL,1,,foulke,keith
213,garcino01,2003,0,ALS200307150,BOS,AL,1,,garciaparra,nomar
214,giambja01,2003,0,ALS200307150,NYA,AL,1,,giambi,jason
215,guarded01,2003,0,ALS200307150,MIN,AL,1,,guardado,eddie
216,hallaro01,2003,0,ALS200307150,TOR,AL,0,,halladay,roy
217,hasegsh01,2003,0,ALS200307150,SEA,AL,1,,hasegawa,shigetoshi
218,hernara02,2003,0,ALS200307150,OAK,AL,1,,hernandez,ramon
219,macdomi01,2003,0,ALS200307150,KCA,AL,0,,macdougal,mike
220,morame01,2003,0,ALS200307150,BAL,AL,1,,mora,melvin
221,moyerja01,2003,0,ALS200307150,SEA,AL,1,,moyer,jamie
222,muldema01,2003,0,ALS200307150,OAK,AL,1,,mulder,mark
223,ordonma01,2003,0,ALS200307150,CHA,AL,1,,ordonez,magglio
