,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first,Name,keyname
1,rodriiv01,2000,0,NLS200007110,TEX,AL,1,2,rodriguez,ivan,ivan rodriguez,ivan rodriguez2000
2,giambja01,2000,0,NLS200007110,OAK,AL,1,3,giambi,jason,jason giambi,jason giambi2000
3,alomaro01,2000,0,NLS200007110,CLE,AL,1,4,alomar,roberto,roberto alomar,roberto alomar2000
4,frymatr01,2000,0,NLS200007110,CLE,AL,1,5,fryman,travis,travis fryman,travis fryman2000
5,jeterde01,2000,0,NLS200007110,NYA,AL,1,6,jeter,derek,derek jeter,derek jeter2000
6,evereca01,2000,0,NLS200007110,BOS,AL,1,7,everett,carl,carl everett,carl everett2000
7,willibe02,2000,0,NLS200007110,NYA,AL,1,8,williams,bernie,bernie williams,bernie williams2000
8,dyeje01,2000,0,NLS200007110,KCA,AL,1,9,dye,jermaine,jermaine dye,jermaine dye2000
10,batisto01,2000,0,NLS200007110,TOR,AL,1,,batista,tony,tony batista,tony batista2000
11,bordimi01,2000,0,NLS200007110,BAL,AL,1,,bordick,mike,mike bordick,mike bordick2000
12,delgaca01,2000,0,NLS200007110,TOR,AL,1,,delgado,carlos,carlos delgado,carlos delgado2000
13,durhara01,2000,0,NLS200007110,CHA,AL,1,,durham,ray,ray durham,ray durham2000
14,erstada01,2000,0,NLS200007110,LAA,AL,1,,erstad,darin,darin erstad,darin erstad2000
16,garcino01,2000,0,NLS200007110,BOS,AL,1,,garciaparra,nomar,nomar garciaparra,nomar garciaparra2000
17,glaustr01,2000,0,NLS200007110,LAA,AL,1,,glaus,troy,troy glaus,troy glaus2000
21,lawtoma02,2000,0,NLS200007110,MIN,AL,1,,lawton,matt,matt lawton,matt lawton2000
23,martied01,2000,0,NLS200007110,SEA,AL,1,,martinez,edgar,edgar martinez,edgar martinez2000
25,mcgrifr01,2000,0,NLS200007110,TBA,AL,1,,mcgriff,fred,fred mcgriff,fred mcgriff2000
26,ordonma01,2000,0,NLS200007110,CHA,AL,1,,ordonez,magglio,magglio ordonez,magglio ordonez2000
27,posadjo01,2000,0,NLS200007110,NYA,AL,1,,posada,jorge,jorge posada,jorge posada2000
28,ramirma02,2000,0,NLS200007110,CLE,AL,0,,ramirez,manny,manny ramirez,manny ramirez2000
29,ripkeca01,2000,0,NLS200007110,BAL,AL,0,,ripken,cal,cal ripken,cal ripken2000
31,rodrial01,2000,0,NLS200007110,SEA,AL,0,,rodriguez,alex,alex rodriguez,alex rodriguez2000
33,sweenmi01,2000,0,NLS200007110,KCA,AL,1,,sweeney,mike,mike sweeney,mike sweeney2000
35,kendaja01,2000,0,NLS200007110,PIT,NL,1,2,kendall,jason,jason kendall,jason kendall2000
36,galaran01,2000,0,NLS200007110,ATL,NL,1,3,galarraga,andres,andres galarraga,andres galarraga2000
37,kentje01,2000,0,NLS200007110,SFN,NL,1,4,kent,jeff,jeff kent,jeff kent2000
38,jonesch06,2000,0,NLS200007110,ATL,NL,1,5,jones,chipper,chipper jones,chipper jones2000
39,larkiba01,2000,0,NLS200007110,CIN,NL,1,6,larkin,barry,barry larkin,barry larkin2000
40,guerrvl01,2000,0,NLS200007110,MON,NL,1,7,guerrero,vladimir,vladimir guerrero,vladimir guerrero2000
41,edmonji01,2000,0,NLS200007110,SLN,NL,1,8,edmonds,jim,jim edmonds,jim edmonds2000
42,sosasa01,2000,0,NLS200007110,CHN,NL,1,9,sosa,sammy,sammy sosa,sammy sosa2000
43,alfoned01,2000,0,NLS200007110,NYN,NL,1,,alfonzo,edgardo,edgardo alfonzo,edgardo alfonzo2000
44,bondsba01,2000,0,NLS200007110,SFN,NL,0,,bonds,barry,barry bonds,barry bonds2000
46,cirilje01,2000,0,NLS200007110,COL,NL,1,,cirillo,jeff,jeff cirillo,jeff cirillo2000
48,finlest01,2000,0,NLS200007110,ARI,NL,1,,finley,steve,steve finley,steve finley2000
49,gilesbr02,2000,0,NLS200007110,PIT,NL,1,,giles,brian,brian giles,brian giles2000
50,girarjo01,2000,0,NLS200007110,CHN,NL,0,,girardi,joe,joe girardi,joe girardi2000
53,griffke02,2000,0,NLS200007110,CIN,NL,0,,griffey,ken,ken griffey,ken griffey2000
54,hammoje01,2000,0,NLS200007110,COL,NL,1,,hammonds,jeffrey,jeffrey hammonds,jeffrey hammonds2000
55,heltoto01,2000,0,NLS200007110,COL,NL,1,,helton,todd,todd helton,todd helton2000
57,jonesan01,2000,0,NLS200007110,ATL,NL,1,,jones,andruw,andruw jones,andruw jones2000
60,liebemi01,2000,0,NLS200007110,PHI,NL,1,,lieberthal,mike,mike lieberthal,mike lieberthal2000
62,mcgwima01,2000,0,NLS200007110,SLN,NL,0,,mcgwire,mark,mark mcgwire,mark mcgwire2000
63,piazzmi01,2000,0,NLS200007110,NYN,NL,0,,piazza,mike,mike piazza,mike piazza2000
64,renteed01,2000,0,NLS200007110,SLN,NL,1,,renteria,edgar,edgar renteria,edgar renteria2000
66,sheffga01,2000,0,NLS200007110,LAN,NL,1,,sheffield,gary,gary sheffield,gary sheffield2000
67,vidrojo01,2000,0,NLS200007110,MON,NL,1,,vidro,jose,jose vidro,jose vidro2000
70,rodriiv01,2001,0,ALS200107100,TEX,AL,1,2,rodriguez,ivan,ivan rodriguez,ivan rodriguez2001
71,olerujo01,2001,0,ALS200107100,SEA,AL,1,3,olerud,john,john olerud,john olerud2001
72,boonebr01,2001,0,ALS200107100,SEA,AL,1,4,boone,bret,bret boone,bret boone2001
73,rodrial01,2001,0,ALS200107100,TEX,AL,1,5,rodriguez,alex,alex rodriguez,alex rodriguez2001
74,ripkeca01,2001,0,ALS200107100,BAL,AL,1,6,ripken,cal,cal ripken,cal ripken2001
75,ramirma02,2001,0,ALS200107100,BOS,AL,1,7,ramirez,manny,manny ramirez,manny ramirez2001
76,suzukic01,2001,0,ALS200107100,SEA,AL,1,8,suzuki,ichiro,ichiro suzuki,ichiro suzuki2001
77,gonzaju03,2001,0,ALS200107100,CLE,AL,1,9,gonzalez,juan,juan gonzalez,juan gonzalez2001
78,martied01,2001,0,ALS200107100,SEA,AL,1,10,martinez,edgar,edgar martinez,edgar martinez2001
79,alomaro01,2001,0,ALS200107100,CLE,AL,1,,alomar,roberto,roberto alomar,roberto alomar2001
80,camermi01,2001,0,ALS200107100,SEA,AL,1,,cameron,mike,mike cameron,mike cameron2001
81,clarkto02,2001,0,ALS200107100,DET,AL,1,,clark,tony,tony clark,tony clark2001
82,garcifr02,2001,0,ALS200107100,SEA,AL,1,,,,,2001
83,giambja01,2001,0,ALS200107100,OAK,AL,1,,giambi,jason,jason giambi,jason giambi2001
84,glaustr01,2001,0,ALS200107100,LAA,AL,1,,glaus,troy,troy glaus,troy glaus2001
85,guzmacr01,2001,0,ALS200107100,MIN,AL,1,,guzman,cristian,cristian guzman,cristian guzman2001
86,jeterde01,2001,0,ALS200107100,NYA,AL,1,,jeter,derek,derek jeter,derek jeter2001
90,ordonma01,2001,0,ALS200107100,CHA,AL,1,,ordonez,magglio,magglio ordonez,magglio ordonez2001
93,posadjo01,2001,0,ALS200107100,NYA,AL,1,,posada,jorge,jorge posada,jorge posada2001
98,sweenmi01,2001,0,ALS200107100,KCA,AL,1,,sweeney,mike,mike sweeney,mike sweeney2001
99,vaughgr01,2001,0,ALS200107100,TBA,AL,0,,vaughn,greg,greg vaughn,greg vaughn2001
100,willibe02,2001,0,ALS200107100,NYA,AL,1,,williams,bernie,bernie williams,bernie williams2001
102,piazzmi01,2001,0,ALS200107100,NYN,NL,1,2,piazza,mike,mike piazza,mike piazza2001
103,heltoto01,2001,0,ALS200107100,COL,NL,1,3,helton,todd,todd helton,todd helton2001
104,kentje01,2001,0,ALS200107100,SFN,NL,1,4,kent,jeff,jeff kent,jeff kent2001
105,jonesch06,2001,0,ALS200107100,ATL,NL,1,5,jones,chipper,chipper jones,chipper jones2001
106,aurilri01,2001,0,ALS200107100,SFN,NL,1,6,aurilia,rich,rich aurilia,rich aurilia2001
107,bondsba01,2001,0,ALS200107100,SFN,NL,1,7,bonds,barry,barry bonds,barry bonds2001
108,gonzalu01,2001,0,ALS200107100,ARI,NL,1,8,gonzalez,luis,luis gonzalez,luis gonzalez2001
109,sosasa01,2001,0,ALS200107100,CHN,NL,1,9,sosa,sammy,sammy sosa,sammy sosa2001
110,walkela01,2001,0,ALS200107100,COL,NL,1,10,walker,larry,larry walker,larry walker2001
111,aloumo01,2001,0,ALS200107100,HOU,NL,1,,alou,moises,moises alou,moises alou2001
112,berkmla01,2001,0,ALS200107100,HOU,NL,1,,berkman,lance,lance berkman,lance berkman2001
114,caseyse01,2001,0,ALS200107100,CIN,NL,1,,casey,sean,sean casey,sean casey2001
115,floydcl01,2001,0,ALS200107100,FLO,NL,1,,floyd,cliff,cliff floyd,cliff floyd2001
116,gilesbr02,2001,0,ALS200107100,PIT,NL,1,,giles,brian,brian giles,brian giles2001
117,guerrvl01,2001,0,ALS200107100,MON,NL,1,,guerrero,vladimir,vladimir guerrero,vladimir guerrero2001
