,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first,Name,keyname,AS
1,perezsa02,2021,0,NLS202107130,KCA,AL,1,2,perez,salvador,Salvador Perez,Salvador Perez2021,1
2,guerrvl02,2021,0,NLS202107130,TOR,AL,1,3,guerrero,vladimir,Vladimir Guerrero,Vladimir Guerrero2021,1
3,semiema01,2021,0,NLS202107130,TOR,AL,1,4,semien,marcus,Marcus Semien,Marcus Semien2021,1
4,deverra01,2021,0,NLS202107130,BOS,AL,1,5,devers,rafael,Rafael Devers,Rafael Devers2021,1
5,bogaexa01,2021,0,NLS202107130,BOS,AL,1,6,bogaerts,xander,Xander Bogaerts,Xander Bogaerts2021,1
6,hernate01,2021,0,NLS202107130,TOR,AL,1,7,hernandez,teoscar,Teoscar Hernandez,Teoscar Hernandez2021,1
7,mullice01,2021,0,NLS202107130,BAL,AL,1,8,mullins,cedric,Cedric Mullins,Cedric Mullins2021,1
8,judgeaa01,2021,0,NLS202107130,NYA,AL,1,9,judge,aaron,Aaron Judge,Aaron Judge2021,1
9,ohtansh01,2021,0,NLS202107130,LAA,AL,1,10,ohtani,shohei,Shohei Ohtani,Shohei Ohtani2021,1
10,altuvjo01,2021,0,NLS202107130,HOU,AL,0,,altuve,jose,Jose Altuve,Jose Altuve2021,1
11,anderti01,2021,0,NLS202107130,CHA,AL,0,,anderson,tim,Tim Anderson,Tim Anderson2021,1
14,bichebo01,2021,0,NLS202107130,TOR,AL,1,,bichette,bo,Bo Bichette,Bo Bichette2021,1
16,brantmi02,2021,0,NLS202107130,HOU,AL,0,,brantley,michael,Michael Brantley,Michael Brantley2021,1
19,correca01,2021,0,NLS202107130,HOU,AL,0,,correa,carlos,Carlos Correa,Carlos Correa2021,1
20,cruzne02,2021,0,NLS202107130,MIN,AL,1,,cruz,nelson,Nelson Cruz,Nelson Cruz2021,1
22,gallojo01,2021,0,NLS202107130,TEX,AL,1,,gallo,joey,Joey Gallo,Joey Gallo2021,1
23,garciad02,2021,0,NLS202107130,TEX,AL,1,,garcia,adolis,Adolis Garcia,Adolis Garcia2021,1
29,martijd02,2021,0,NLS202107130,BOS,AL,1,,martinez,j. d.,J. D. Martinez,J. D. Martinez2021,1
30,merriwh01,2021,0,NLS202107130,KCA,AL,1,,merrifield,whit,Whit Merrifield,Whit Merrifield2021,1
31,olsonma02,2021,0,NLS202107130,OAK,AL,1,,olson,matt,Matt Olson,Matt Olson2021,1
33,ramirjo01,2021,0,NLS202107130,CLE,AL,1,,ramirez,jose,Jose Ramirez,Jose Ramirez2021,1
37,troutmi01,2021,0,NLS202107130,LAA,AL,0,,trout,mike,Mike Trout,Mike Trout2021,1
38,walshja01,2021,0,NLS202107130,LAA,AL,1,,walsh,jared,Jared Walsh,Jared Walsh2021,1
39,wendljo01,2021,0,NLS202107130,TBA,AL,1,,wendle,joey,Joey Wendle,Joey Wendle2021,1
40,zuninmi01,2021,0,NLS202107130,TBA,AL,1,,zunino,mike,Mike Zunino,Mike Zunino2021,1
42,realmjt01,2021,0,NLS202107130,PHI,NL,1,2,realmuto,j. t.,J. T. Realmuto,J. T. Realmuto2021,1
43,freemfr01,2021,0,NLS202107130,ATL,NL,1,3,freeman,freddie,Freddie Freeman,Freddie Freeman2021,1
44,fraziad01,2021,0,NLS202107130,PIT,NL,1,4,frazier,adam,Adam Frazier,Adam Frazier2021,1
45,arenano01,2021,0,NLS202107130,SLN,NL,1,5,arenado,nolan,Nolan Arenado,Nolan Arenado2021,1
46,tatisfe02,2021,0,NLS202107130,SDN,NL,1,6,tatis,fernando,Fernando Tatis,Fernando Tatis2021,1
47,winkeje01,2021,0,NLS202107130,CIN,NL,1,7,winker,jesse,Jesse Winker,Jesse Winker2021,1
48,reynobr01,2021,0,NLS202107130,PIT,NL,1,8,reynolds,bryan,Bryan Reynolds,Bryan Reynolds2021,1
49,casteni01,2021,0,NLS202107130,CIN,NL,1,9,castellanos,nick,Nick Castellanos,Nick Castellanos2021,1
50,muncyma01,2021,0,NLS202107130,LAN,NL,1,10,muncy,max,Max Muncy,Max Muncy2021,1
51,acunaro01,2021,0,NLS202107130,ATL,NL,0,,acuna,ronald,Ronald Acuna,Ronald Acuna2021,1
52,albieoz01,2021,0,NLS202107130,ATL,NL,1,,albies,ozzie,Ozzie Albies,Ozzie Albies2021,1
53,bettsmo01,2021,0,NLS202107130,LAN,NL,0,,betts,mookie,Mookie Betts,Mookie Betts2021,1
54,bryankr01,2021,0,NLS202107130,CHN,NL,1,,bryant,kris,Kris Bryant,Kris Bryant2021,1
57,crawfbr01,2021,0,NLS202107130,SFN,NL,1,,crawford,brandon,Brandon Crawford,Brandon Crawford2021,1
58,croneja01,2021,0,NLS202107130,SDN,NL,1,,cronenworth,jake,Jake Cronenworth,Jake Cronenworth2021,1
61,escobed01,2021,0,NLS202107130,ARI,NL,1,,escobar,eduardo,Eduardo Escobar,Eduardo Escobar2021,1
65,machama01,2021,0,NLS202107130,SDN,NL,1,,machado,manny,Manny Machado,Manny Machado2021,1
68,molinya01,2021,0,NLS202107130,SLN,NL,0,,molina,yadier,Yadier Molina,Yadier Molina2021,1
